Time da Casa,Posição do Time da Casa,Time Visitante,Posição do Time Visitante,Rodada,Data do Jogo,Hora do Jogo,Resultado Final - Time da Casa,Resultado Final - Time Visitante,Estádio,Público,Árbitro
CR Flamengo,3,CR Vasco da Gama,17,28,"dom, 22/10/23",16:00,1,0,Estádio Jornalista Mário Filho,69.473 torcedores,Raphael Claus
Atlético Mineiro,7,Cruzeiro EC,14,28,"dom, 22/10/23",16:00,0,1,Arena MRV,42.058 torcedores,Ramon Abatti
SC Internacional,12,Santos FC,18,28,"dom, 22/10/23",16:00,7,1,Estádio Beira-Rio,36.584 torcedores,Paulo Cesar Zanovelli
SC Corinthians,15,América Mineiro,20,28,"dom, 22/10/23",18:30,1,1,Neo Química Arena,38.121 torcedores,Yuri Elino Ferreira da Cruz
RB Bragantino,2,Fluminense FC,9,28,"dom, 22/10/23",18:30,1,0,Estádio Nabi Abi Chedid,6.813 torcedores,Wilton Sampaio
Coritiba FC,19,SE Palmeiras,4,28,"dom, 22/10/23",18:30,0,2,Estádio Major Antônio Couto Pereira,19.387 torcedores,Rafael Rodrigo Klein
Fluminense FC,8,Goiás EC,17,29,"qua, 25/10/23",19:00,5,3,Estádio General Sylvio Raulino de Oliveira,4.793 torcedores,Leandro Pedro Vuaden
RB Bragantino,2,Atlético Mineiro,7,29,"qua, 25/10/23",19:00,1,2,Estádio Nabi Abi Chedid,5.494 torcedores,Marcelo de Lima Henrique  (RJ)
Athletico Paranaense,5,América Mineiro,20,29,"qua, 25/10/23",19:00,3,2,Ligga Arena,20.672 torcedores,Anderson Daronco
SE Palmeiras,3,São Paulo FC,10,29,"qua, 25/10/23",20:00,5,0,Allianz Parque,32.618 torcedores,Raphael Claus
Cruzeiro EC,13,EC Bahia,15,29,"qua, 25/10/23",20:00,3,0,Estádio Governador Magalhães Pinto,36.104 torcedores,Flavio Rodrigues de Souza
Grêmio FBPA,6,CR Flamengo,4,29,"qua, 25/10/23",21:30,3,2,Arena do Grêmio,22.325 torcedores,Rodrigo Jose Pereira de Lima
Cuiabá EC,12,SC Corinthians,14,29,"qua, 25/10/23",21:30,0,1,Arena Pantanal,36.620 torcedores,André Luiz Skettino Policarpo Bento
CR Vasco da Gama,18,SC Internacional,11,29,"qui, 26/10/23",19:00,1,2,Estádio São Januário,20.098 torcedores,Luiz Flávio de Oliveira (SP)
Santos FC,16,Coritiba FC,19,29,"qui, 26/10/23",21:30,2,1,Estádio Urbano Caldeira,12.205 torcedores,Wagner do Nascimento Magalhães
Fortaleza EC,9,Botafogo FR,1,29,"qui, 23/11/23",18:00,2,2,Estádio Governador Plácido Castelo,25.828 torcedores,Ramon Abatti
SE Palmeiras,2,EC Bahia,15,30,"sáb, 28/10/23",19:00,1,0,Allianz Parque,33.747 torcedores,Rodrigo Jose Pereira de Lima
América Mineiro,20,Grêmio FBPA,5,30,"sáb, 28/10/23",19:00,3,4,Estádio Raimundo Sampaio,3.008 torcedores,Matheus Delgado Candançan
Atlético Mineiro,6,Fluminense FC,8,30,"sáb, 28/10/23",20:00,2,0,Arena MRV,23.003 torcedores,Raphael Claus
Goiás EC,17,CR Vasco da Gama,18,30,"dom, 29/10/23",16:00,1,1,Estádio Serra Dourada,12.904 torcedores,Flavio Rodrigues de Souza
Athletico Paranaense,7,São Paulo FC,12,30,"dom, 29/10/23",16:00,1,1,Ligga Arena,27.604 torcedores,Rafael Rodrigo Klein
SC Corinthians,14,Santos FC,16,30,"dom, 29/10/23",18:30,1,1,Neo Química Arena,42.248 torcedores,Anderson Daronco
SC Internacional,13,Coritiba FC,19,30,"dom, 29/10/23",18:30,3,4,Estádio Beira-Rio,36.272 torcedores,André Luiz Skettino Policarpo Bento
Botafogo FR,1,Cuiabá EC,10,30,"dom, 29/10/23",20:00,0,1,Estádio Olímpico Nilton Santos,30.659 torcedores,Wilton Sampaio
Fortaleza EC,9,Cruzeiro EC,11,30,"sáb, 18/11/23",17:30,0,1,Estádio Governador Plácido Castelo,30.804 torcedores,Savio Pereira Sampaio
CR Flamengo,3,RB Bragantino,4,30,"qui, 23/11/23",20:30,1,0,Estádio Jornalista Mário Filho,57.699 torcedores,Braulio da Silva Machado
EC Bahia,15,Fluminense FC,8,31,"ter, 31/10/23",18:00,1,0,Arena Fonte Nova,34.319 torcedores,Edina Alves Batista
SC Corinthians,13,Athletico Paranaense,7,31,"qua, 01/11/23",18:00,1,0,Neo Química Arena,29.870 torcedores,Leandro Pedro Vuaden
SC Internacional,14,América Mineiro,20,31,"qua, 01/11/23",18:00,1,1,Estádio Beira-Rio,14.961 torcedores,Flavio Rodrigues de Souza
CR Flamengo,5,Santos FC,16,31,"qua, 01/11/23",19:00,1,2,Estádio Nacional de Brasília Mané Garrincha,64.708 torcedores,Rafael Rodrigo Klein
Coritiba FC,19,Grêmio FBPA,4,31,"qua, 01/11/23",19:00,1,2,Estádio Major Antônio Couto Pereira,24.308 torcedores,Marcelo de Lima Henrique  (RJ)
Botafogo FR,1,SE Palmeiras,2,31,"qua, 01/11/23",20:30,3,4,Estádio Olímpico Nilton Santos,34.913 torcedores,Braulio da Silva Machado
